MesgName,FieldNum,FieldName,ValueIndex,DecodedValue,RawValue,ValueType,Units,Scale,Offset,ProfileType
"session","253","Timestamp","0","1142696584","1142696584","System.UInt32","s","1","0","DateTime"
"session","2","StartTime","0","1142696584","1142696584","System.UInt32","","1","0","DateTime"
"session","7","TotalElapsedTime","0","1247.782","1247782","System.Single","s","1000","0","Uint32"
"session","8","TotalTimerTime","0","1203.591","1203591","System.Single","s","1000","0","Uint32"
"session","9","TotalDistance","0","6147.49","614749","System.Single","m","100","0","Uint32"
"session","10","TotalCycles","0","1574","1574","System.UInt32","cycles","1","0","Uint32"
"session","48","TotalWork","0","88685","88685","System.UInt32","J","1","0","Uint32"
"session","110","SportProfileName","0","494E444F4F5200","494E444F4F5200","System.Byte[]","","1","0","String"
"session","110","SportProfileName","1","00","00","System.Byte[]","","1","0","String"
"session","110","SportProfileName","2","00","00","System.Byte[]","","1","0","String"
"session","110","SportProfileName","3","00","00","System.Byte[]","","1","0","String"
"session","110","SportProfileName","4","00","00","System.Byte[]","","1","0","String"
"session","110","SportProfileName","5","00","00","System.Byte[]","","1","0","String"
"session","110","SportProfileName","6","00","00","System.Byte[]","","1","0","String"
"session","110","SportProfileName","7","00","00","System.Byte[]","","1","0","String"
"session","110","SportProfileName","8","00","00","System.Byte[]","","1","0","String"
"session","110","SportProfileName","9","00","00","System.Byte[]","","1","0","String"
"session","110","SportProfileName","10","00","00","System.Byte[]","","1","0","String"
"session","110","SportProfileName","11","00","00","System.Byte[]","","1","0","String"
"session","110","SportProfileName","12","00","00","System.Byte[]","","1","0","String"
"session","110","SportProfileName","13","00","00","System.Byte[]","","1","0","String"
"session","110","SportProfileName","14","00","00","System.Byte[]","","1","0","String"
"session","110","SportProfileName","15","00","00","System.Byte[]","","1","0","String"
"session","110","SportProfileName","16","00","00","System.Byte[]","","1","0","String"
"session","110","SportProfileName","17","00","00","System.Byte[]","","1","0","String"
"session","110","SportProfileName","18","00","00","System.Byte[]","","1","0","String"
"session","110","SportProfileName","19","00","00","System.Byte[]","","1","0","String"
"session","110","SportProfileName","20","00","00","System.Byte[]","","1","0","String"
"session","110","SportProfileName","21","00","00","System.Byte[]","","1","0","String"
"session","110","SportProfileName","22","00","00","System.Byte[]","","1","0","String"
"session","110","SportProfileName","23","00","00","System.Byte[]","","1","0","String"
"session","110","SportProfileName","24","00","00","System.Byte[]","","1","0","String"
"session","110","SportProfileName","25","00","00","System.Byte[]","","1","0","String"
"session","116","AvgLeftPowerPhase","0","255","255","System.Single","degrees","0.7111111","0","Uint8"
"session","116","AvgLeftPowerPhase","1","255","255","System.Single","degrees","0.7111111","0","Uint8"
"session","116","AvgLeftPowerPhase","2","255","255","System.Single","degrees","0.7111111","0","Uint8"
"session","116","AvgLeftPowerPhase","3","255","255","System.Single","degrees","0.7111111","0","Uint8"
"session","117","AvgLeftPowerPhasePeak","0","255","255","System.Single","degrees","0.7111111","0","Uint8"
"session","117","AvgLeftPowerPhasePeak","1","255","255","System.Single","degrees","0.7111111","0","Uint8"
"session","117","AvgLeftPowerPhasePeak","2","255","255","System.Single","degrees","0.7111111","0","Uint8"
"session","117","AvgLeftPowerPhasePeak","3","255","255","System.Single","degrees","0.7111111","0","Uint8"
"session","118","AvgRightPowerPhase","0","255","255","System.Single","degrees","0.7111111","0","Uint8"
"session","118","AvgRightPowerPhase","1","255","255","System.Single","degrees","0.7111111","0","Uint8"
"session","118","AvgRightPowerPhase","2","255","255","System.Single","degrees","0.7111111","0","Uint8"
"session","118","AvgRightPowerPhase","3","255","255","System.Single","degrees","0.7111111","0","Uint8"
"session","119","AvgRightPowerPhasePeak","0","255","255","System.Single","degrees","0.7111111","0","Uint8"
"session","119","AvgRightPowerPhasePeak","1","255","255","System.Single","degrees","0.7111111","0","Uint8"
